DateTime,Date,Daytime,Rain_mm,Production_kW,Consumption_kW,Temperature,Irradiance,Haselholz_m,Bidmi_m,Spot_Price_CHF_MWh,Haselholz_mm,Bidmi_mm,Bidmi_Production_kW,Haselholz_Production_kW,Bidmi_Output_mm,Haselholz_Output_mm,Bidmi_Inflow_mm,Haselholz_Inflow_mm,Natural_Inflow_B_mm,Natural_Inflow_H_mm,Network_Exchange_kW,Energy_Trading_CHF,Total_Energy_Cost_CHF,Opt_Production_kW,Opt_Bidmi_Production_kW,Opt_Haselholz_Production_kW,Opt_Bidmi_mm,Opt_Haselholz_mm,Opt_Network_Exchange_kW,Opt_Energy_Trading_CHF,Opt_Target_Bidmi_mm,Opt_Target_Haselholz_mm,Opt_Terminal_Dev_Bidmi_mm,Opt_Terminal_Dev_Haselholz_mm,Opt_Total_Energy_Cost_CHF
2025-02-04 15:25:00,2025-02-04,15:25:00,0.0,869.221,2281.443,10.8,240.492,2.28,1.897,23.594895,2280.0,1897.0,339.539453125,529.6815468750001,8.496983311436436,97.01127232142858,-9.496983311436436,-89.01127232142858,9.496983311436436,80.51428900999214,1412.2220000000002,2.7767691505575005,91934.80241387052,790.66003455842,308.8515759993828,481.80845855903715,1956.669775096,2800.0,1490.7829654415802,2.9312389614485594,1712.5666666666666,1991.8666666666666,0.0,0.0,991.1746150602769
2025-02-04 15:30:00,2025-02-04,15:30:00,0.0,850.426,2258.653,10.5,42.238,2.273,1.898,23.594895,2273.0,1898.0,332.19765625,518.22834375,8.31325466091091,94.91361607142858,-9.31325466091091,-87.91361607142858,9.31325466091091,79.60036141051766,1408.227,2.7689140167637496,91937.57132788729,781.68515523862,305.34576376508596,476.3393914735341,1958.43773998903,2800.0,1476.9678447613796,2.904075101293421,1712.5666666666666,1991.8666666666666,0.0,0.0,994.0786901615703
2025-02-04 15:35:00,2025-02-04,15:35:00,0.0,1165.512,2304.874,10.165,39.488,2.271,1.895,23.594895,2271.0,1895.0,455.278125,710.233875,11.39334647147147,130.07946428571427,-8.39334647147147,-128.07946428571427,8.39334647147147,116.6861178142428,1139.362,2.2402605630824994,91939.81158845036,1145.87175863961,447.6061557185977,698.2656029210124,1960.10970927043,2800.0,1159.0022413603897,2.2788780158052546,1712.5666666666666,1991.8666666666666,0.0,0.0,996.3575681773756
2025-02-04 15:40:00,2025-02-04,15:40:00,0.0,1175.001,2433.756,9.782,36.718,2.271,1.89,23.594895,2271.0,1890.0,458.984765625,716.016234375,11.48610524587087,131.1385044642857,-6.486105245870871,-131.1385044642857,6.486105245870871,119.6523992184148,1258.755,2.475016004643749,91942.286604455,1175.001,458.98476562499997,716.016234375,1957.30170049369,2800.0,1258.7549999999999,2.4750160046437495,1712.5666666666666,1991.8666666666666,0.0,0.0,998.8325841820193
2025-02-04 15:45:00,2025-02-04,15:45:00,0.0,1195.492,2401.302,9.371,33.967,2.264,1.885,23.594895,2264.0,1885.0,466.9890625,728.5029375,11.686412975475474,133.42544642857143,-6.6864129754754735,-126.42544642857143,6.6864129754754735,114.73903345309596,1205.8100000000002,2.3709133616625,91944.65751781668,1126.75115523862,440.1371700150859,686.6139852235341,1952.30170049369,2800.0,1274.5508447613802,2.506074446192172,1712.5666666666666,1991.8666666666666,0.0,0.0,1001.3386586282115
2025-02-04 15:50:00,2025-02-04,15:50:00,0.0,1205.094,2418.989,9.024,31.472,2.253,1.88,23.594895,2253.0,1880.0,470.73984375,734.3541562500001,11.78027637012012,134.49709821428573,-6.78027637012012,-123.49709821428571,6.78027637012012,111.7168218441656,1213.895,2.38681042216875,91947.04432823884,1097.07267251783,428.5440127022773,668.5286598155526,1947.9736697751,2800.0,1321.9163274821701,2.5992064121439515,1712.5666666666666,1991.8666666666666,0.0,0.0,1003.9378650403555
2025-02-04 15:55:00,2025-02-04,15:55:00,0.0,1224.745,2514.745,8.838,30.753,2.244,1.875,23.594895,2244.0,1875.0,478.416015625,746.3289843749999,11.972372763388387,136.69029017857142,-6.972372763388387,-127.69029017857142,6.972372763388387,115.71791741518302,1290.0,2.5364512125000003,91949.58077945132,1136.36391387822,443.8921538586797,692.4717600195404,1944.02962150302,2800.0,1378.3810861217798,2.710229749752446,1712.5666666666666,1991.8666666666666,0.0,0.0,1006.648094790108
2025-02-04 16:00:00,2025-02-04,16:00:00,0.0,1239.578,2377.813,8.598,29.587,2.228,1.87,51.297705,2228.0,1870.0,484.21015625,755.3678437499999,12.117371277527528,138.3457589285714,-7.117371277527527,-122.3457589285714,7.117371277527527,110.22838765104387,1138.235,4.8657369375562505,91954.44651638888,1082.45606911684,422.8344019987656,659.6216671180744,1939.89358200768,2800.0,1295.3569308831602,5.537403142512479,1712.5666666666666,1991.8666666666666,0.0,0.0,1012.1854979326205
2025-02-04 16:05:00,2025-02-04,16:05:00,0.0,1375.547,2398.839,8.359,28.431,2.215,1.863,51.297705,2215.0,1863.0,537.323046875,838.2239531250001,13.44652269456957,153.5208705357143,-6.44652269456957,-140.5208705357143,6.44652269456957,127.07434784114471,1023.292,4.374377595404999,91958.82089398427,1582.45606911684,618.1469019987655,964.3091671180744,1936.42951179375,2800.0,816.38293088316,3.4898808962899777,1712.5666666666666,1991.8666666666666,0.0,0.0,1015.6753788289104
2025-02-04 16:10:00,2025-02-04,16:10:00,0.0,1398.928,2360.168,8.1,27.358,2.2,1.856,51.297705,2200.0,1856.0,546.4562500000001,852.4717500000002,13.67508133133133,156.13035714285715,-6.675081331331331,-141.13035714285715,6.675081331331331,127.45527581152582,961.24,4.10911716285,91962.93001114714,1897.02564102564,741.0256410256407,1155.9999999999993,1927.40689279666,2765.93008896173,463.14235897436015,1.9798450086392356,1712.5666666666666,1991.8666666666666,0.0,0.0,1017.6552238375497
